"x"
"cov_cat_sex"
"cov_cat_imd"
"cov_cat_smoking"
"cov_cat_age_group"
"cov_cat_consrate2019"
"strat_cat_region"
"cov_bin_carehome"
"cov_bin_hcworker"
"cov_bin_dementia"
"cov_bin_liver_disease"
"cov_bin_ckd"
"cov_bin_cancer"
"cov_bin_hypertension"
"cov_bin_diabetes"
"cov_bin_obesity"
"cov_bin_depression"
"cov_bin_stroke_all"
"cov_bin_other_ae"
"cov_bin_vte"
"cov_bin_hf"
"cov_bin_angina"
"cov_bin_lipidmed"
"cov_bin_antiplatelet"
"cov_bin_hrt"
