"name","only_gp_midpoint6","only_apc_midpoint6","only_death_midpoint6","gp_apc_midpoint6","gp_death_midpoint6","apc_death_midpoint6","gp_apc_death_midpoint6"
"cohort_prevax-main-ami",15,57,81,3,0,3,0
"cohort_prevax-main-stroke_sahhs",3,57,75,3,0,3,0
